EDH,TM_ID,EDCS
"004238","198844","13100002"
"004241","198845","13100004"
"004244","198846","13100005"
"004270","198848","09200558"
"004277","198849","07400706"
"004297","198850","09200550"
"004300","198851","09200547"
"004330","198854","09200570"
"004333","198855","09200561"
"004339","198857","09200556"
"004342","198858","09200559"
"004390","198860","09200555"
"004443","198862","08901188"
"004471","198863","09200549"
"004621","214592",""
"004657","204724","09200583"
"004690","198867","25401743"
"004696","198868","09200582"
"004741","198870","65000109"
"004804","204726","09700785"
"004867","198871","25601008"
"004870","198872","08201701"
"004906","198873","10300636"
"005006","198874","24501227"
"005427","198886","17701050"
"005871","198893","24800897"
"007336","203158","13500344"
"007339","198993","09400753"
"007342","198994","09400752"
"007345","198995","09400751"
"007348","198996","09400750"
"008166","199024","07600464"
"008169","199025","13302432"
"008172","199026","13000652"
"008746","199047","09700370"
"009592","204779","09801749"
"010003","199068","09700371"
"010006","199069","09700372"
"010009","199070","09700373"
"010021","199074","09700377"
"010027","199076","09700379"
"010030","199077","13500329"
"010036","199079","13500353"
"010039","199080","13500341"
"010045","199082","09700390"
"010051","204783","09700392"
"010057","204785","12200327"
"010060","204786","09700394"
"011763","199149","09401260"
"015298","204929","09800391"
"015301","204930","09800392"
"017102","199485","13600157"
"017111","199488","13600160"
"017465","204999","13800214"
"018011","205016","13800216"
"018185","199553","06000302"
"018188","199554","06000294"
"018203","199559","43600079"
"018780","205110","06100629"
"019913","199769","25900101"
"020418","205185","09801978"
"020847","199903","06000865"
"021091","199944","06000273"
"021323","199961, 199965",""
"021841","200033","06000900"
"022113","200110","25600955"
"022168","200112","13900624"
"022238","200115","13000994"
"022241","200116","13003868"
"022262","200127","24502092"
"022327","200147","15300281"
"022387","205306",""
"023298","200248","13300154"
"023563","200282","16200636, 39200510, 39200511"
"023732","200298","22000655"
"023867","200332","25501733"
"023991","200351","25601271"
"023997","200354","25600715"
"024238","200362","06000951"
"024265","200374","06000943"
"025365","200460","24100137"
"025540","200475","06000303"
"026382","205514","16201720"
"026850","200610",""
"027741","200703","06000316"
"027888","200711","06000949"
"028486","205613","15200125"
"029259","205646","16202031"
"029901","200885","10300003, 06000903"
"030751","200932","04000325"
"030757","200934","15300160"
"030781","200937","14900064"
"030793","200941","13002088"
"030808","200942","06000531"
"030811","200943","06000528"
"030814","200944","06000530"
"030817","200945","06000362"
"030820","200946","22000679"
"030823","200947","24100032"
"030826","200948","13000964"
"030829","200949","24800809"
"030835","200951","06000020"
"030841","200952","24501228"
"030844","200953","23200445"
"030847","200954","24400001"
"030850","200955","13001585"
"030853","201828","10300592"
"030868","200959","24800870"
"030874","200960","17701090"
"030877","200961","23400826"
"030880","200962","23400833"
"030883","200963","14900043"
"030898","200964","25600663"
"030910","200966","17700841"
"030931","200970","26900537"
"030940","200971","27000021"
"030946","200973","06000526"
"030952","200974","06000509"
"030964","200975","22000675"
"030976","200979","23400750"
"030985","200980","30100113"
"031021","200983","25000981"
"031033","200987","25002176"
"031039","200988","06000538"
"031042","200989","06000532"
"031096","200997","14900018"
"031099","200998","13003287"
"031102","200999","25900013"
"031111","201000","25700394"
"031123","200846","24300229"
"031129","201005","13000608"
"031132","201007","24300230"
"031135","205663","20100182"
"031138","205664","25800014"
"031141","201011","13002485"
"031144","205665","24500469"
"031147","205666","24500323"
"031150","205667","20300057"
"031153","201013","27900240"
"031159","205668","24500322"
"031168","201014","04001494"
"031174","205670","20100184"
"031177","205671","20600042"
"031180","201015","13001994"
"031183","201016","27600148"
"031186","201017","25700389"
"031189","201018","25900545"
"031198","205674","20300114"
"031201","205675","20600060"
"031207","205677",""
"031213","205679","47600546"
"031219","205681","25600401"
"031222","205682","25600402"
"031225","205683","25600403"
"031231","201019","13002066"
"031237","205686","24500462"
"031243","205688","25900482"
"031246","205689","20300117"
"031249","205690","24500177"
"031252","205691","24500268"
"031255","205692","24500324"
"031264","205695","20600102"
"031267","205696","24800676"
"031273","205698","24500325"
"031276","205699","24700801"
"031279","205700","23100038"
"031282","205701","24500269"
"031288","205703","24500272"
"031294","205705","20300080"
"031297","205706","20600081"
"031300","205707","27300292"
"031303","205708","24500273"
"031312","205711","23100042"
"031315","205712","20600144"
"031318","205713","21600156"
"031321","205714","23100413"
"031324","205715","23100044"
"031333","205718","23100421"
"031342","205721","23100045"
"031345","205722","25600621"
"031348","205723","20800603"
"031354","205725","20600029"
"031357","205726","20600030"
"031360","205727","20800605"
"031363","205728","23100430"
"031366","205729","23100070"
"031369","205730","13002075"
"031378","205733","23100422"
"031384","205735","24500279"
"031387","205736","24700788"
"031390","205737","20800601"
"031393","205738","18300258"
"031399","205740","59600010"
"031402","205741","20100176"
"031405","205742","59600013"
"031408","205743",""
"031426","205748","20300127"
"031435","205750","23600095"
"031438","205751","20600104"
"031441","205752","24500301"
"031444","205753","20800596"
"031447","205754","20600179"
"031453","205756","08100172"
"031471","205761","35500652"
"031477","205763","23100431"
"031480","205764","20600072"
"031483","205765","20800613"
"031486","205766","23100072"
"031492","205768","23100051"
"031495","205769","59700182, 20600148"
"031498","205770",""
"031501","205771","20800641"
"031504","205772","20600147"
"031507","205773","20600039"
"031513","205775","20300074"
"031525","205779","23600104"
"031531","201033","22400598"
"031537","205784","25900488"
"031546","201034","18300206"
"031549","205791","24500180"
"031552","205793","23100031"
"031555","205794","23600555"
"031558","205795","13003278"
"031564","205797","24500302"
"031860","201051","16800231"
"032589","205815","16800380"
"033021","201084","24100015"
"033421","201110","17701131"
"033442","205837","24700793"
"033457","205842","20300016"
"033463","205844","23600006, 66300009"
"033469","205846","20300130"
"033487","205851","20300073"
"033493","205853","24701241"
"033496","205854","20800608"
"033505","205857","24800729"
"033508","205858","25600400"
"033514","205859","27300294"
"033517","205860","13002079"
"033523","205862","20800607"
"033529","205863","20800602"
"033532","205864","23600107"
"033535","201117","13000933"
"033538","205865","20100219"
"033541","205866","13002063"
"033544","205867","20800597"
"033553","205870","24800724"
"033556","205871","23700012"
"033559","205872","20600040"
"033562","205873","20600107"
"033565","205874","20600085"
"033567","201119","24100002"
"033568","205875","20600066"
"033571","205876","20800661"
"033574","205877","20600111"
"033577","205878","23100060"
"033583","205880","13002032"
"033586","205881","45600003"
"033589","205882","20300110"
"033592","205883","20300111"
"033595","205884","23100409"
"033598","205885","20600094"
