place_name,province,longitude,latitude,inscription_count,Pleiades_ID
Bir el-Oesch / Bir Abadlia / Al 'Abadiliyah / El Abadlia / Bir el-Heuch / Bir Ul-Och / Bir el-Ach / Sululis,Africa proconsularis,9.605158,36.461372,4,
Bir el-Tuta / Bir et-Tuta / Bir et-Touta / Thugga,Africa proconsularis,9.2328062,36.4879076,2,
Bir et-Touta / Thugga,Africa proconsularis,9.2328062,36.4879076,1,
Bir ez Zitoun / Bir el-Zitoun,Africa proconsularis,10.2136111,35.3905556,1,
Bizerte / Bisert / Banzart / Hippo Diarrhytus,Africa proconsularis,9.8713665,37.2732415,18,315038
Bled Ben-Habtoun,Africa proconsularis,,,9,
Bled Demane et Torba,Africa proconsularis,9.871389,36.225,2,
Bled Jdida / Blaed Djedida,Africa proconsularis,,,1,
"Bled, Hr. el",Africa proconsularis,10.4847,35.6278,3,
"Bnena, Hr.",Africa proconsularis,,,1,
Borche el Amer / Bordj el-Amer,Africa proconsularis,,,1,
"Bordj Alaouine / El-Alouine / el-Aluin, Hr. / Sicilibba",Africa proconsularis,9.873597,36.68588,12,
Bordj Bou Baker / Bordj el-Hadj Bou Baker / Civitas Geumitanorum / Thugga,Africa proconsularis,9.1597735,36.3923931,1,
"Bordj Bou Jadi / Bou Djadi, Hr./ Bu Djadi / Ucres",Africa proconsularis,9.97083,36.901123,1,
Bordj Chambi,Africa proconsularis,8.75,35.233333,1,
Bordj Djedid,Africa proconsularis,8.75,36.95,3,
Bordj Djemaour,Africa proconsularis,,,1,
Bordj Gobet el-Gheffari,Africa proconsularis,,,1,
Bordj Gourbala / Gourbata,Africa proconsularis,8.5489065,34.272432,1,
Bordj Lestlets,Africa proconsularis,,,3,
Bordj Maajen / Borj Mejen Bel Abbes,Africa proconsularis,8.516667,34.733333,2,
Bordj Meksenna,Africa proconsularis,,,1,
Bordj Messaudi,Africa proconsularis,9.06,36.29056,8,
Bordj Mrira,Africa proconsularis,,,1,
Bordj Ouled Dhia / Bordj Uled Dhia,Africa proconsularis,,,2,
Bordj Ouraou / Ureu,Africa proconsularis,9.535499,36.875269,9,
Bordj Salah Saksi,Africa proconsularis,,,1,
Bordj Sebbalat / Ad Aquas,Africa proconsularis,,,2,
Bordj Sidi Amor Ben Attiar,Africa proconsularis,,,1,
Bordj Sidi Hamar,Africa proconsularis,,,1,
Bordj Tahar / Thugga,Africa proconsularis,9.260657,36.499636,1,
Bordj Tajaa / Thugga,Africa proconsularis,9.1270865,36.4245605,1,
Bordj Wirghi / Ouerrhi / Thugga,Africa proconsularis,9.2476561,36.5089776,1,
Bordj ben Achour / Thugga,Africa proconsularis,9.2364442,36.5072906,7,
Bordj el-Ain / Bordj Bellamine / Thugga,Africa proconsularis,9.2301208,36.4283028,8,
Bordj el-Amri / Borj el-Amri,Africa proconsularis,9.8822665,36.7118658,12,
Bordj el-Hadj el-Arbi / Saltus Massipianus,Africa proconsularis,1.05,36.316667,1,
Bordj el-Hatab,Africa proconsularis,,,1,
Bordj el-Rihana / Bordj er-Rihana,Africa proconsularis,,,3,
Borj Cedria / Bordj Cedria / Cumis,Africa proconsularis,10.3857098,36.6964922,1,
"Botria, Hr. / Ras Botria / Ras Boutria / Betria / Badria / Acholla",Africa proconsularis,11.020575,35.0796,27,324653
Bou Afinah / Bu Afinah,Africa proconsularis,8.4516667,35.7463889,1,
"Bou Ahmed, Hr. / R'rao, Hr. / Fundus Tigibelle / Res publica [] Teanensium / Thugga",Africa proconsularis,9.3866448,36.4587431,7,
Bou Allouch / Bou Allusch,Africa proconsularis,8.8167,36.3333,2,
"Bou Arara, Hr.",Africa proconsularis,9.578611,35.845554,2,
Bou Argoub / Bou Arkoub / Bu Urqub,Africa proconsularis,10.5510357,36.5333936,2,
Bou Assid / Fundus Aufidianus,Africa proconsularis,9.666923,37.033395,3,
Bou Atfan / Bu Atfan / Guelaa Bou Atfane / Oum Krekeche / Umm Gerrigesch / Guelaat Bouatfane / Nattabutes,Africa proconsularis,,,257,
Bou Auya / Bu Auya,Africa proconsularis,,,8,
"Bou Cha, Hr. / Boucha / Bou Scha / Bu-Scha / Municipium Turcetanum / Municipium Aurelium C[]",Africa proconsularis,9.8891933,36.5277454,35,
Bou Chebibe / Lasica,Africa proconsularis,,,1,
Bou Djenah,Africa proconsularis,6.05,36.8333,2,
Bou Falia,Africa proconsularis,,,1,
Bou Garnin / Villa Magna,Africa proconsularis,11.216424,33.181823,1,
"Bou Gornine, Hr.",Africa proconsularis,,,1,
"Bou Goussa, Hr.",Africa proconsularis,,,1,
Bou Hajar / Bu Hajar,Africa proconsularis,10.866667,35.683334,1,
Bou Haya,Africa proconsularis,8.5954534,35.1882494,1,
Bou Jdaria / Bou Idaria,Africa proconsularis,,,3,
"Bou Jniba, Hr.",Africa proconsularis,,,2,
Bou Kaia / Bu Kaia / El-Kaia,Africa proconsularis,,,12,
Bou Kerin / Aquae Cirnensis,Africa proconsularis,,,1,
Bou Khchim,Africa proconsularis,,,1,
Bou Maazoun / Bu Maazoun,Africa proconsularis,,,11,
Bou Maharez / Mahares,Africa proconsularis,,,2,
"Bou Mlem, Hr.",Africa proconsularis,,,1,
Bou Rebia / Bu ar Rabiah / Bou er Rebia / Pagus Mercurialis,Africa proconsularis,10.12,36.602778,7,
Bou Sadoun,Africa proconsularis,,,1,
"Bou Sof, Hr.",Africa proconsularis,4.987904,35.835426,2,
"Bou Taba, Hr. / Bu Taba, Hr. / Menegere",Africa proconsularis,8.470741,35.368472,1,
Bou Zeitun / Bu Zeitun,Africa proconsularis,,,1,
Bou Zgoug,Africa proconsularis,,,1,
Bou el-Acbasc / Bu el-Acbasc,Africa proconsularis,,,1,
Bouaouene,Africa proconsularis,9.0067754,36.6936637,1,
Bouchegouf / Zattara,Africa proconsularis,7.7290561,36.4704821,3,
"Boughrara / Bou Ghrara / Bou-Ghara / Bou Grara / Bon Grara / Zian, Hr. / Gigthis",Africa proconsularis,10.6741918,33.5393404,135,
"Bouibet, Hr. / M'Bkekich, Hr. / Fachmia, Hr. / Ammaedara",Africa proconsularis,8.4135739,35.5948783,55,
Boujlida / Bou Djelida / Bou Jelida / Mizeoter / Gens Bacchuiana,Africa proconsularis,9.5047835,36.4149476,57,
Boukhil / Bou Kehil / Gebel Bou Kohel / Djebel bau-Kohel,Africa proconsularis,9.1303962,36.2804725,1,
Bouraoui Belhadef / Bouraroui,Africa proconsularis,6.103131,36.6992926,4,
Boursala,Africa proconsularis,,,5,
Bouzid Ben Aleya,Africa proconsularis,,,3,
Bouzouitina,Africa proconsularis,,,3,
Brahim Ben Kherif / Ammaedara,Africa proconsularis,,,8,
Brahim Ben Sai,Africa proconsularis,,,1,
"Brahim Riah', Hr. / Kinfiria / Thugga",Africa proconsularis,9.1907365,36.4039453,8,
